NODE_ID,NODE_NAME,x,y
"2520245200",옥계초등학교,129.0342165561,37.6113006542
"2980116400",산정리218-1,126.8825767042,36.6524419609
"2980116600",산정리221-1,126.8827104858,36.6524507120
"2980115900",대술교차로,126.8827413550,36.6499873915
"2980116000",대술교차로,126.8823342727,36.6522833190
"1300004400",연안부두삼거리,129.0375791696,35.1027034436
"2980116100",대술교차로,126.8823291712,36.6523733386
"2980115800",대술교차로,126.8826071405,36.6499877214
"2980116200",선들교남측,126.8868556851,36.6489369007
"2980116300",대술교차로,126.8829692121,36.6520903673
"2980116500",선들교남측,126.8869535475,36.6489802292
"2980116700",대술교차로,126.8829883471,36.6523228513
"2980116800",대술교차로,126.8829708726,36.6524121298
"2980116900",마전교차로,126.8944414932,36.6432201167
"2980117000",대술교차로,126.8829346636,36.6525706876
"2980117600",산정2교,126.8841633473,36.6523501827
"1330040900",오션플라잉테마파크,129.0718535190,35.0601273619
"1330041000",오션플라잉테마파크,129.0719654929,35.0604984511
"1330041100",오션플라잉테마파크,129.0720700977,35.0604716221
"2790272200",석장교차로,127.5217284915,36.9000257172
"2790272300",석장교차로,127.5217142392,36.9003568593
"2790272400",석장교차로,127.5218575235,36.9003600921
"2790272500",석장교차로,127.5218889684,36.9008180997
"2510359300",최소노드배치점,127.7944630991,37.2110555044
"3540354300",독골,128.9232821891,36.6954549934
"1610151000",제3국제업무단지입구,126.3983043558,37.4675972267
"2230153300",오산IC,127.0781101093,37.1427026841
"1610151100",제3국제업무단지입구,126.3980943539,37.4678325704
"2882079900",탕정교차로,127.0380765390,36.7976883857
"2882080000",탕정교차로,127.0381855681,36.7977091641
"2882080900",아산갈산초등학교,127.0678545349,36.7933040971
"2882081000",아산갈산초등학교,127.0679796184,36.7932680123
"2882081100",아산갈산초등학교,127.0674649192,36.7938042339
"2882081300",아산갈산초등학교,127.0674787990,36.7939193529
"2882081500",아산갈산초등학교,127.0679301280,36.7935793211
"2882081600",아산갈산초등학교,127.0680494034,36.7935228994
"2882081700",아산갈산초등학교,127.0679583240,36.7936914542
"2882081800",아산갈산초등학교,127.0683513123,36.7933961710
"2882085600",매곡1교남측,127.0825876568,36.7886086176
"2882085700",매곡1교남측,127.0825507345,36.7886931313
"2882085800",매곡리입구,127.0789913289,36.7917725755
"2882085900",매곡리입구,127.0789025218,36.7918714225
"2882086000",매곡1교북측,127.0820920873,36.7894351118
"2882086100",매곡1교북측,127.0821978552,36.7894648657
"2882086200",매곡리1195,127.0832725170,36.7888395914
"4180130500",최소노드배치점,128.6980156249,35.1649415753
"4150054200",창원시성산구-창원시진해구,128.6467460822,35.1764777723
"4180132000",창원시성산구-창원시진해구,128.6460124526,35.1764802683
"3630109500",최소노드배치점,129.0455336914,36.2918728763
"3630109600",최소노드배치점,129.0456202889,36.2920713747
"3630109700",최소노드배치점,129.0380073859,36.3023495843
"3630109800",최소노드배치점,129.0381067392,36.3023085966
"2882090600",매곡2리,127.0823289573,36.7929489422
"2882090800",매곡2리,127.0822898717,36.7930527491
"2882091000",매곡2리,127.0824292519,36.7929940672
"2882091100",매곡2리,127.0823901670,36.7930984321
"2882091300",매곡2리,127.0821727887,36.7933217446
"2882091400",매곡2리,127.0822785363,36.7933515230
"2882091500",투썸플레이스이순신대로점,127.0820503120,36.7935439526
"2882091700",투썸플레이스이순신대로점,127.0821498338,36.7935853461
"2882091800",매곡2리,127.0827921595,36.7931652119
"2882091900",매곡2리,127.0827111544,36.7932534893
"2882092200",배방1교차로,127.0881699684,36.7897243271
"2882092300",배방1교차로,127.0881424335,36.7898168041
"2882092400",배방1교차로,127.0883302191,36.7897507125
"2882092500",배방1교차로,127.0883016873,36.7898421926
"2882093400",신풍교,127.0855314782,36.7946274826
"2882093500",신풍교,127.0856273047,36.7946741788
"3540355900",불미골,128.9609249551,36.6951032766
"3540356000",불미골,128.9609223069,36.6951933175
"3540356100",최소노드배치점,128.9676657778,36.6968686695
"3540356300",동천리165-1,128.9731362311,36.6973708384
"1680210900",인천발전본부,126.6142628796,37.5084990131
"1680211000",인천발전본부,126.6143675960,37.5085330569
"1390033500",사하경찰서앞,128.9781420184,35.0849671835
"1390033600",사하경찰서앞,128.9781079901,35.0851884634
"2882097100",매곡리608-1,127.0813430567,36.7925197899
"2882097200",매곡리607-33,127.0812880557,36.7926145418
"2790269900",은암리508,127.5259111805,36.7934666569
"2790269800",은암리508,127.5259290397,36.7933782213
"2770133300",계산리산2-1,127.7861816221,36.1827920469
"2220312600",창현1교남측,127.3180567059,37.6326201135
